input,answer,description
1547657,bad input format,【无效】输入字符串不等于8位
192367821,bad input format,【无效】输入字符串不等于8位
1923JULY,bad input format,【无效】输入字符串无法转换为整数
18990324,bad date,【无效】年<1900 【边界值】年略小于边界值
19000324,sat,"【有效】年=[1900,2050] 月=[1，3，5，7，8，10，12] 日=[1-31] 【边界值】年等于左边界"
19770324,thu,"【有效】年=[1900,2050] 月=[1，3，5，7，8，10，12] 日=[1-31] 【边界值】年正常值"
20500324,thu,"【有效】年=[1900,2050] 月=[1，3，5，7，8，10，12] 日=[1-31] 【边界值】年等于右边界"
20510324,bad date,【无效】年<1900 【边界值】年略大于边界值
19770700,bad date,【无效】日期<1 【边界值】日略小于边界值
19770701,fri,"【有效】年=[1900,2050] 月=[1，3，5，7，8，10，12] 日=[1-31] 【边界值】日等于左边界"
19770718,mon,"【有效】年=[1900,2050] 月=[1，3，5，7，8，10，12] 日=[1-31] 【边界值】日正常值"
19770731,sun,"【有效】年=[1900,2050] 月=[1，3，5，7，8，10，12] 日=[1-31] 【边界值】日等于右边界"
19770732,bad date,【无效】日期>最大日期 【边界值】日略大于边界值
20140927,sat,"【有效】年=[1900,2050] 月=[4，6，9，11] 日=[1-30] 【边界值】日正常值"
20140930,tue,"【有效】年=[1900,2050] 月=[4，6，9，11] 日=[1-30] 【边界值】日右边界值"
20140931,bad date,【无效】日期>最大日期 【边界值】日略大于边界值
19850221,thu,"【有效】月=2，年=平年 日 =[1,28]【边界值】日正常值"
19850228,thu,"【有效】月=2，年=平年 日 =[1,28]【边界值】日右边界值"
19850229,bad date,【无效】日期>最大日期 【边界值】日略大于边界值
20240214,wed,"【有效】月=2，年=闰年 日 =[1,28]【边界值】日正常值"
20240229,thu,"【有效】月=2，年=闰年 日 =[1,28]【边界值】日右边界值"
20240230,bad date,【无效】日期>最大日期 【边界值】日略大于边界值
